massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	885.54802	16.302	1.0	0.5493028306333333	N1
row2	804.5751	19.724	1.0	0.24524692333333334	N2
row3	883.53182	15.792	1.0	0.32401044419999997	N3
row4	802.55911	18.807	1.0	0.8642755017333333	N4
row5	762.50662	17.058	1.0	0.10200039575	N5
row6	826.55882	18.392	1.0	-0.46111435995000005	N6
row7	747.5652	16.792	1.0	-0.6233193912666666	N7
row8	540.33037	10.662	1.0	0.04118867555	N8
row9	850.55826	18.167	1.0	0.25854380116666664	N9
row10	500.27797	9.825	1.0	0.3660423989166666	N10
row11	819.51703	16.348	1.0	-0.08625371361666666	N11
row12	828.57385	19.224	0.0	1.30774202835	N12
row13	568.36144	11.98	1.0	0.6790769692999999	N13
row14	887.56249	17.004	0.0	1.553468027683333	N14
row15	773.53171	17.523	1.0	0.11502816006666662	N15
row16	764.52207	17.408	0.0	1.3764663202833334	N16
row17	465.30387	13.098	1.0	0.08514221525000011	N17
row18	738.50735	17.228	0.0	1.2522757972666667	N18
row19	566.34622	10.886	1.0	0.7536605361166667	N19
row20	854.58935	20.033	1.0	0.02798693991666669	N20
row21	857.51657	15.592	1.0	0.049144642116666686	N21
row22	856.60557	21.713	1.0	1.14643098355	N22
row23	480.3093	10.665	1.0	0.23060740109999997	N23
row24	480.30913	11.502	1.0	0.57300790675	N24
row25	524.2777	9.895	1.0	0.16658076386666662	N25
row26	311.1685	9.113	1.0	0.3990331719	N26
row27	766.53811	18.281	0.0	1.4616515661333334	N27
row28	514.28391	6.249	1.0	-0.3250494195	N28
row29	325.18407	9.794	1.0	0.3614640923666667	N29
row30	452.27793	10.317	1.0	-0.12542349321666665	N30
row31	852.57342	18.599	1.0	-0.043368389333333285	N31
row32	776.54354	18.335	1.0	1.1943235062666666	N32
row33	788.52134	17.266	1.0	0.07022273239999999	N33
row34	859.53205	16.114	1.0	1.1641421653833333	N34
row35	771.51653	16.826	1.0	-0.06822354573333334	N35
row36	953.53476	16.285	1.0	0.5519741597666666	N36
row37	339.1997	10.45	1.0	0.3338427030833333	N37
row38	747.51686	17.74	1.0	0.43914237436666664	N38
row39	810.52722	17.947	1.0	0.5193853408166667	N39
row40	865.50078	15.758	1.0	-0.41521472201666676	N40
row41	599.3192	10.812	1.0	0.4260471813833335	N41
row42	800.54367	18.044	1.0	-0.019242358533333354	N42
row43	782.49663	16.731	1.0	0.30738372290000004	N43
row44	588.33005	10.104	1.0	0.30865778108333336	N44
row45	795.51673	16.512	1.0	-0.01476055705000003	N45
row46	745.50158	16.495	1.0	0.4767746095333334	N46
row47	740.52112	17.584	1.0	0.6101243852166667	N47
row48	619.28792	9.223	1.0	0.4785695402833333	N48
row49	478.29404	10.637	1.0	0.7781241694000001	N49
row50	265.14805	8.045	1.0	-0.49109121801666666	N50
row51	861.54689	16.201	0.0	1.2872940382333333	N51
row52	872.5609	19.757	1.0	-0.4019122982833333	N52
row53	612.3297	10.164	1.0	0.49391573953333334	N53
row54	566.34542	11.731	1.0	-0.7176732485499999	N54
row55	564.33018	10.071	1.0	0.9441035817499999	N56
row56	817.50131	16.074	1.0	-0.4182634701833333	N57
row57	714.50712	17.386	1.0	0.7085390084166667	N58
row58	790.53785	18.096	1.0	0.4116263928333333	N59
row59	834.54945	16.412	1.0	-0.6832451651	N60
row60	890.53855	14.881	1.0	-1.1916481168833335	N63
row61	836.56405	16.68	1.0	-0.6951637929166666	N64
row62	528.30945	10.756	1.0	0.21965528856666672	N65
row63	824.54279	17.941	1.0	0.20041913888333335	N66
row64	716.52249	18.123	1.0	0.5263000953666667	N67
row65	508.34047	11.982	1.0	0.6585963185999999	N68
row66	806.49639	16.606	1.0	0.6311718998333333	N69
row67	638.36648	11.496	1.0	-0.8484121902333333	N70
row68	876.57306	18.305	1.0	0.7010740195333333	N71
row69	514.28391	5.244	1.0	0.20891360748333335	N72
row70	760.49102	16.23	1.0	0.0982538212833333	N73
row71	858.55083	16.363	1.0	-0.8121929080333334	N74
row72	736.4915	16.342	1.0	0.8757774049	N75
row73	526.29353	10.275	1.0	0.15383796560000004	N76
row74	981.51665	12.711	1.0	-0.5461585085833331	N77
row75	821.53169	16.916	1.0	0.2596597126833334	N78
row76	871.53153	16.031	1.0	0.12609794560000007	N79
row77	506.32504	10.912	1.0	0.70126412755	N80
row78	873.5485	16.597	1.0	1.1328387524833334	N82
row79	697.35547	11.394	1.0	-0.46299586316666663	N84
row80	588.46572	15.306	1.0	-0.11862764298333343	N85
row81	878.58922	19.408	0.0	1.2369303103833333	N86
row82	778.56007	19.583	1.0	-0.1960864420833333	N87
row83	509.28798	10.355	1.0	0.07260861954999998	N88
row84	624.35095	11.27	1.0	-0.6691905649833334	N89
row85	834.52598	17.909	1.0	0.9643275624166667	N90
row86	797.53167	17.057	1.0	0.3130017170333333	N91
row87	536.29912	10.883	1.0	-0.8517588544333334	N93
row88	914.53851	15.131	1.0	-0.8930436263999999	N94
row89	524.29884	11.244	1.0	0.5642670356999999	N95
row90	498.28921	7.167	1.0	-0.18669639308333333	N96
row91	793.50131	16.16	1.0	-0.23638668173333327	N97
row92	574.44997	14.716	1.0	-0.5595389942833334	N98
row93	909.5458	16.191	1.0	0.5720434828000001	N99
row94	719.48601	16.522	1.0	0.5063316010666666	N100
row95	791.48559	15.7	1.0	-0.2722079316166667	N101
row96	578.34563	12.204	1.0	-0.19896448995	N102
row97	908.54916	13.253	0.0	-1.3073689264	N103
row98	815.55185	16.788	1.0	-0.6633813195666667	N105
row99	951.51885	15.806	1.0	0.34559024250000003	N106
row100	592.3249	10.888	1.0	-1.1653774129499999	N107
row101	281.24834	12.466	1.0	0.7490446829	N108
row102	621.30343	9.827	1.0	1.0896909281833334	N109
row103	664.38208	11.865	1.0	-0.6509032024333333	N110
row104	790.56026	19.176	1.0	0.08074248935000002	N111
row105	870.54506	18.795	1.0	0.7316994473666667	N112
row106	917.53666	14.994	1.0	-0.45005643868333345	N113
row107	830.49343	17.067	1.0	0.046071472449999956	N114
row108	608.35584	11.028	1.0	-0.6144956149999999	N115
row109	544.26725	9.544	1.0	0.6981065217666667	N116
row110	860.5656	16.651	1.0	-0.5432412018	N117
row111	610.33516	10.456	1.0	-0.76179781145	N118
row112	1015.5059	16.285	1.0	0.5182501439	N119
row113	733.54941	16.24	1.0	-0.5426737849666666	N120
row114	568.26593	9.757	1.0	0.4163951693	N121
row115	835.53252	16.144	0.0	1.2393784683	N122
row116	594.34025	11.008	1.0	-0.5406335695	N123
row117	862.57969	17.631	1.0	-0.1594027964333333	N124
row118	769.50127	16.323	1.0	0.13657703566666662	N125
row119	590.34563	10.667	1.0	0.99732067935	N126
row120	407.28015	7.557	1.0	0.20233367998333335	N127
row121	894.54504	18.379	1.0	-0.5511620843	N128
row122	295.2278	9.254	1.0	-0.6933928401499999	N129
row123	742.53835	18.497	0.0	1.7294807659500002	N131
row124	502.2936	10.389	1.0	0.5676764199833333	N132
row125	632.35573	11.286	1.0	-0.9389919088666665	N133
row126	736.51747	14.061	1.0	0.2229553626166667	N134
