fid	Experimental mass	rt	Platform	Mode	_quant_LD2169	_quant_LD2170	_quant_LD2171	_quant_LD2243	_quant_LD2244	_quant_LD2245	_quant_LD2162	_quant_LD2163	_quant_LD2164	_quant_LD2213	_quant_LD2214	_quant_LD2215	_quant_LD2166	_quant_LD2157	_quant_LD2158	_quant_LD2223	_quant_LD2224	_quant_LD2225
N541	692.41231	12.314	C18	NEG	-1.3485006187	-0.8350081427	0.2545928706	-1.0323277572	0.992820763	-1.1434918183	0.626883831	-1.0855669176	-0.3292048527	-1.7840040819	1.0863786525	1.2212177567	-0.2572337758	1.7047309245000002	-0.1221350796	-0.8986174143000001	0.3168025466	0.7120880536
N542	760.43929	12.4	C18	NEG	-0.6525943042	-0.1302419873	1.3718643582	-1.195664552	0.3339879726	-0.9028300818	0.573208069	-0.8700256036	1.707768672	0.6013345618	0.8851514077	0.9580895927	-0.7146248986	-0.0534855052	0.3372118128	-1.7079451107	-1.4539962651	0.7825498744
N545	935.54875	13.219	C18	NEG	-1.3556467027	-1.0080803601	0.9153454821	-1.3859611317	0.4315216812	-1.9588482559	1.1716002436	-0.6842578228	0.3205683071	-0.4144935196	0.8477275419	0.4808527192	-0.2516042839	1.4013942274	0.3252596599	-1.4810087199	0.442537143	0.5107556081
N546	828.47865	16.449	C18	NEG	0.1088818091	0.7954983192	-1.4909618705	0.5971021790000001	-0.0682990887	1.2111063387	-1.696095529	1.0181847467	-0.4910791712	0.64532418	-2.5586412391	0.3884418772	0.4083371357	-1.1764004032	0.2687910857	0.7669966037	-0.2181488435	-0.8017745146
N547	628.36108	12.23	C18	NEG	-0.5516428313	-0.8360544309	0.3823020179	-1.1241924395	0.683908217	-1.34393689	0.1190797133	-2.0217309432	-0.0400339633	0.0022986211	1.1300556925	0.366103199	-0.0828901114	1.3541800627	1.4066738027	-1.6481388208	0.5696196559	0.7983450174000001
N548	574.31358	11.993	C18	NEG	-0.043152713	-1.5285307488000002	0.8180190215	-1.3595604227	0.8427627132000001	-1.3229648127	1.2480481545	-1.5777335772	0.4278904435	-0.8173624622000001	1.2222818806	0.2421421282	0.5888449069	1.1241606113	0.4124553726	-1.2884619149	0.1306877094	0.8804737097
N549	696.37192	11.224	C18	NEG	-0.2137822932	-0.6974307157	1.1816875844	-1.6591999693	0.5702348139	-1.3839497405	0.5336420473	-1.8863090167	0.9508575626	-0.2054693801	1.450518944	0.4603473493	0.1809639719	0.3709748932	-0.2395380967	-1.4251563473	0.2466480453	1.067529632
N550	602.48117	15.618	C18	NEG	-0.8480730436	0.7978194034	-1.2062606059	1.1527848323	-1.1794580903	1.8968927176	-0.8283258602	1.5439144732	0.0805748372	-0.2305618003	-0.5254088094	-0.1700331956	0.5762825857	-0.275023545	0.0837615884	1.4904844305	-1.0876783679	-1.2716915502
N551	680.31704	10.167	C18	NEG	0.3612228659	0.8992490177	-2.2636107533	1.0075226301	-0.3123903275	1.2491157604	-1.5696243791	1.314745428	0.0542786141	0.6947321143	-1.2596521727	-0.1878812927	0.326699596	-0.3115056673	-0.0657100641	0.8717753012	-1.5050062497	-0.5636125940000001
N552	582.23547	10.282	C18	NEG	-0.3296757076	0.529174861	-1.6145404287	1.5892376759	-0.5506430928	1.4446110091	-1.1277188299	1.5037407202000002	0.5374678873000001	0.9974450821	-0.5095826877	-0.2430285709	0.3957995227	-0.2486823825	0.1030969634	0.4145866857	-1.0140868833	-1.877201824
N553	812.57966	19.471	C18	NEG	1.7443659486	0.7100031913	0.2295538326	1.1160486092	0.1408538397	1.1946817629	1.1089221115	-0.0104445977	-1.1801998725	-0.0422116265	-0.9194200848	-0.6761513322	0.5073038153	-1.7647270729	-0.7351986308	0.6064279947	-1.5513582623	-0.3375957864
N555	522.2836	10.382	C18	NEG	-0.6938362846	1.3545866784	-0.5504190814000001	-0.0458756022	0.0719679602	0.3897190436	-0.6917547208	1.1276364567	-0.4193365033	1.3224662265	0.3850089045	-0.1984778296	0.2450873454	-1.83415287	-1.5217414163	2.0056219132	-1.2311267807	0.2846265604
N556	695.33966	10.676	C18	NEG	-0.4115964347	-1.1875339186	1.8032587496	-1.439166905	0.3731474319	-1.2924245818	-0.0325239393	-1.0418768807	-0.8310102690000001	-1.0021957912	1.3638420754	1.4117351128	-0.4482239467	0.9506530745	0.161084062	-1.218235705	-0.1108227547	0.7224798213
N558	667.30667	10.813	C18	NEG	-0.4497947519	0.3578714188	-1.2177234496	0.6979949671	-0.5018328002	1.6073072389	-0.9526113915	0.7646711511000001	-1.7382838258	0.0249789797	-1.4371001242	-0.9438110221	1.5589136144	0.932107532	0.6105869081	1.1432686292	0.165860518	-0.6224035918
N561	786.52777	17.931	C18	NEG	0.7531187806	-0.9332443353	0.5547183771	-1.8240532458	0.4296536252	0.0264813199	1.2411927657	-0.4691351182	0.2696245974	-0.3295625551	1.726224056	-1.711767597	-0.0995924698	-0.3769348064	-0.7731737705	-0.9937666538	1.225411417	1.284805613
N562	594.28084	10.255	C18	NEG	-0.7441626196000001	1.2938312489	-1.4998941152	1.2265686573	-0.605023698	1.5503893641	-1.1676336268	0.8808429733	0.6793678911000001	1.0563586788	-1.0530564494	0.1987477207	-0.6343524355	-0.8118725037000001	-0.7353451318	1.3805627823	-0.0836826502	-0.9316460865
N564	327.23232	9.895	C18	NEG	-0.6452006237	1.2813327142	-1.2151449585	1.1218546229	-0.7784734347000001	1.3928580976	-1.4256237389	1.0704882348	0.4769821023	0.9239261895	-1.7800015290000002	0.304791605	0.0047226688	-0.5261361037	-0.1278492709	0.9261396026	-1.0801984797	-1.139612657
N565	457.19024	11.676	C18	NEG	-0.0460644951	1.1694570836	-2.188737322	0.9021794809	0.0282982872	0.8747168881	-0.9213286524	0.7986966267000001	-0.0725151717	0.737459867	-2.1948844424	0.0733120817	0.5720941945	-0.048225149	0.6173171233	1.1320990865	-0.2806393629	-1.153236124
N567	526.35077	11.207	C18	NEG	-0.9547753377	0.7490469148000001	-1.5123264897	1.5219110441	-2.0521064073	1.4192032119	0.2350797524	0.6878176496	0.0254274839	0.5990024862000001	0.1152890706	-0.4608789306	0.3878331907	0.2927784671	-1.6972030771000002	1.1316362394	-0.429645789	-0.0580894794
N568	596.29627	10.768	C18	NEG	-0.7443042099	1.5085185001	-1.4638085093	1.312881422	-0.6433695468	1.4510786797000002	-1.1836994937	0.8110908327	0.4831445204	1.0131527121	-0.6780113517	0.1041838048	-0.5089970807	-0.9596162135	-0.6881070939	1.4020144161	-0.043995135	-1.1721562534
N569	868.46372	17.238	C18	NEG	1.5714927119	0.4161980918	-0.7909061302	1.2681985871	0.03654495	1.1861175745	-1.1282344171	0.5614398869	-1.0844983776	0.1623498506	-2.0949410555	-1.0773240636	0.4919106164	-0.780586128	0.2663871507	1.3838247367	0.2869529792	-0.6749269638000001
N570	686.47553	16.126	C18	NEG	-0.6079579849	-1.1976544602	-0.7706071502	1.1299964169	0.7287986072	1.116784976	-0.7442088357000001	-0.1772175002	-0.1963593959	-0.5334454092	-1.2656599611	1.6389672684	0.5348578099	-1.6348372441	0.5844663247	1.5234604073	0.2345497985	-1.1081425033
N571	823.5479	17.395	C18	NEG	0.7620026957	1.484986505	-1.7966436765	1.0773364211	-1.3947283805	0.9868963394	0.7073042697	0.7682349434	-0.4906036729	-0.0558931385	-0.0477217157	-2.006386744	0.59353548	-0.3982605929	-0.9383813709	0.7333118842	-0.5469733107	0.561984064
N572	441.25241	9.498	C18	NEG	1.0749609953	-0.4746517066	-1.2794582455	-1.238101257	0.8745443205000001	1.1895177387	1.400741516	2.2304569843	-0.8586072431	-0.372138831	-0.3395266706	0.7790874587000001	0.1423094752	-0.9541102632	-0.8693573050000001	-0.0559366122	-0.2614718685	-0.988258486
N573	961.62525	11.503	C18	NEG	-0.9364650601	1.410318149	-1.3448563553	1.591709178	-0.2804015504	1.2497003682	-1.7724093694	0.786396666	0.3703697578	0.4262514689	-0.7718331928000001	-0.193287282	-0.2011503186	-0.2504368663	-0.2938422696	1.1272400178	-0.3470390672	-1.9151206293
N576	706.39228	11.633	C18	NEG	-0.745249143	-0.8467202051	1.6533505612	-1.0415912127	0.4880372329	-2.3070040678	0.7571318367000001	-1.537382466	0.8084346652000001	-0.0370376477	0.9759367084	0.5320465758	0.0933055138	0.3723318591	0.0546547226	-1.1379819313	0.2041838099	0.8668329827
